word,count
SONA,65
THE,55
RT,53
TO,36
SA,34
OF,30
ANG,20
NA,19
AND,14
NG,14
5TH,13
MGA,12
FOR,11
IN,11
DUTERTES,10
DUTERTE,10
WE,9
WITH,8
PRESIDENT,8
MY,8
NI,7
THAT,7
2020,7
THIS,7
COVID19,7
MAY,6
A,6
AMP;,6
I,6
TAG,5
ON,5
PA,5
HIS,5
UP,5
IS,5
ROA,4
RODRIGO,4
SONA2020,4
STUDENT,4
YUNG,4
KA,4
DI,4
KO,4
YA,4
FIRST,4
YOU,4
STATE,4
THEY,4
PRES,4
RIN,4
SI,4
WAY,4
PRESS,3
HIM,3
DAPAT,3
FROM,3
COUNCIL,3
CONGRESS,3
SILA,3
RAPPLERDOTCOM:,3
SONAGKAISA,3
DURING,3
BEFORE,3
NAMAN,3
LIKE,3
WOULD,3
THA,3
EVERYONE,3
IF,3
LANG,3
ITS,3
AT,3
GLOBE,3
OWN,3
HER,3
ME,3
ONE,3
ARAW,3
KHARAASONA,3
TOTALLY,2
THROUGH,2
PROVIDED,2
ALSO,2
THALAAJITHFC,2
NANGA,2
GROUPS,2
POSTSONA,2
EXECUTIVE,2
NEW,2
PARA,2
TAYONG,2
YOUR,2
WAR,2
AGAIN,2
PALA,2
ABOUT,2
PROTESTA,2
SAAN,2
KUNG,2
PLEASE,2
PROTEST,2
OFWS,2
F…,2
TWEET,2
BE,2
EVEN,2
WHY,2
KANYANG,2
LAW,2
WALANG,2
OUR,2
AKO,2
SAID,2
DRILON,2
FRANKLIN,2
ANCALERTS:,2
HOGA,2
HA,2
KACHRA,2
NATION,2
REACH,2
WONT,2
MABUTI,2
COVERS,2
【ジェジュン】,2
TOWERNAMBA:,2
WERE,2
5,2
ONLY,2
HINDI,2
SABI,2
RIGHTS,2
HUMAN,2
PRESIDENTS,2
AFTER,2
MESSAGE,2
REAPERSZN,2
WAKASONA2020,2
TE,2
QUE,2
PERSONA,2
LA,2
BA,2
NO,2
WAG,2
REQUEST,2
AFTERNOON,2
EARLIER,2
HELD,2
RELATED,2
DISCUSSIONS,2
GIVE,2
UPDATE,2
MUJHE,2
HE,2
KAR,2
,2
STEP,2
AJITHKUMAR,2
THALAAJITH,2
VALIMAI,2
FANS,2
KU,2
PAGE,2
FC,2
COVID,2
SIYA,2
PERO,2
NAKITA,2
TEST,2
MATAPOS,2
ZUBIRI,2
LEADER,2
SENATE,2
REACT,2
SHARES,2
CNNPHILIPPINES:,2
NADINE,2
TIME,2
BUT,2
BHAI,2
DONT,2
HAVE,2
AGAINST,2
RESPONSE,2
WHICH,2
ACT,2
AS,2
BAYANIHAN,2
PASSAGE,2
SAME,2
GET,2
CAN,2
PANGULO,2
TAYO,2
TAPOS,2
MARACEPEDA,2
BILLS,2
21,2
KATRINADOMINGO,2
|,2
PANDEMIC,2
GOVERNMENTS,2
WAS,2
CLEAR,2
WHAT,2
NGAYONG,2
DILIMAN,2
HEALTH,2
LOOK:,2
GMANEWS:,2
HERE,2
HTTPS://TCO/DX9OESFBW2,1
BERNAL,1
JOYCE,1
DIR,1
KAISIPANGABITAN:,1
VIBE,1
MET,1
🥺,1
SERAHPHYMN,1
O…,1
POLICIES,1
PROTESTING,1
STOP,1
FAILED,1
RAIN,1
POURING,1
NOR,1
THREAT,1
LINGERING,1
NEITHER,1
DAILYGUARDIANPH:,1
DESPI…,1
BLDG,1
BRIEFING,1
HOLDING,1
PUSHING,1
ROQUE,1
HARRY,1
SPOKESMAN,1
PRESIDENTIAL,1
HTTPS://TCO/NIEAEXKBCU,1
TELLS,1
CARPIO,1
WITHOUT,1
CHINA,1
STANDING,1
NEIGHBORS,1
PHILIPPINE,1
AVANCE…,1
DE,1
MITING,1
KALABAN,1
NAGPAPARINIG,1
SCHOOL,1
HIGH,1
NAPAKAPETTY,1
UY,1
MACOYDUBS1:,1
😭😭,1
OFF,1
ONLINE,1
FUN,1
RUINING,1
NOMASKERS,1
STUPID,1
おちつきましｳﾞｵｵｵｵｪｱｱｱ,1
SURVIVOR,1
DESIGNATED,1
INVITED,1
ISNT,1
VP,1
ABSOLUTALBERT:,1
PASSING,1
INTO,1
INVESTED,1
EFFORT,1
WOMEN,1
MEN,1
THANKS,1
REITERATE,1
YEAR,1
CURRENT,1
SEMESTER,1
STIPEND,1
CITIZENS,1
SENIOR,1
INDIGENT,1
PROJECT,1
TUPAD,1
WORKERS,1
MARGINALIZED,1
DISPLACED,1
OPPORTUNITIES,1
EMPLOYMENT,1
WAGE,1
TEMPORARY,1
😊,1
PODUNGA,1
POOJA,1
PIDICHA,1
AVUNGALUKU,1
UKANTHU,1
POVANGA,1
PANITU,1
BEAT,1
RECORD,1
NAMBA,1
SL,1
DANUSH,1
NALAIKU,1
SUTHUNGA,1
SOLTU,1
EPUDIYE,1
MATOM,1
PODA,1
PODUVOM,1
TWEETS,1
HOURS,1
27,1
JULY,1
MONDAY,1
CITY,1
QUEZON,1
GATHER,1
SECTORS,1
DIFFERENT,1
INQUIRERDOTNET:,1
ILA…,1
PRESIDENTE,1
BABALA,1
SONA;,1
PAGSABIHAN,1
